ranking_a,ranking_c,simmelianos,resultado,diferenca_rk
18,12,10,0,-6
18,12,10,1,-6
18,11,7,0,-7
18,11,8,1,-7
18,1,1,0,-17
18,1,2,1,-17
18,10,4,1,-8
18,10,5,1,-8
18,3,2,0,-15
18,3,3,1,-15
18,20,12,0,2
18,20,14,0,2
18,8,2,0,-10
18,8,2,0,-10
18,14,8,0,-4
18,14,8,1,-4
18,4,5,0,-14
18,4,6,1,-14
18,6,6,0,-12
18,6,7,1,-12
18,7,5,0,-11
18,7,6,1,-11
18,13,6,0,-5
18,13,6,1,-5
18,5,2,0,-13
18,5,2,1,-13
18,9,3,0,-9
18,9,3,1,-9
18,15,7,1,-3
18,15,8,1,-3
18,16,9,0,-2
18,16,10,1,-2
18,19,10,0,1
18,19,10,1,1
18,2,4,0,-16
18,2,4,1,-16
18,17,7,1,-1
18,17,7,1,-1
12,18,12,1,6
12,18,12,1,6
12,11,7,0,-1
12,11,7,1,-1
12,1,3,0,-11
12,1,3,1,-11
12,10,10,0,-2
12,10,10,0,-2
12,3,7,0,-9
12,3,7,0,-9
12,20,11,0,8
12,20,11,1,8
12,8,6,0,-4
12,8,6,1,-4
12,14,7,1,2
12,14,7,1,2
12,4,5,0,-8
12,4,5,1,-8
12,6,5,0,-6
12,6,5,1,-6
12,7,10,0,-5
12,7,10,1,-5
12,13,7,0,1
12,13,7,1,1
12,5,5,1,-7
12,5,5,1,-7
12,9,7,0,-3
12,9,7,1,-3
12,15,7,0,3
12,15,7,1,3
12,16,10,0,4
12,16,10,1,4
12,19,8,1,7
12,19,8,1,7
12,2,5,0,-10
12,2,5,0,-10
12,17,11,1,5
12,17,11,1,5
11,18,8,0,7
11,18,8,1,7
11,12,8,1,1
11,12,8,1,1
11,1,3,0,-10
11,1,3,1,-10
11,10,4,0,-1
11,10,4,1,-1
11,3,4,0,-8
11,3,4,0,-8
11,20,14,0,9
11,20,14,1,9
11,8,6,1,-3
11,8,6,1,-3
11,14,9,1,3
11,14,9,1,3
11,4,3,0,-7
11,4,3,1,-7
11,6,8,0,-5
11,6,8,1,-5
11,7,6,0,-4
11,7,6,1,-4
11,13,6,0,2
11,13,6,1,2
11,5,2,0,-6
11,5,2,1,-6
11,9,3,1,-2
11,9,3,1,-2
11,15,4,1,4
11,15,4,1,4
11,16,8,0,5
11,16,8,1,5
11,19,7,1,8
11,19,7,1,8
11,2,4,0,-9
11,2,4,1,-9
11,17,11,0,6
11,17,11,1,6
1,18,21,1,17
1,18,21,1,17
1,12,17,0,11
1,12,17,1,11
1,11,16,1,10
1,11,16,1,10
1,10,15,1,9
1,10,15,1,9
1,3,5,1,2
1,3,5,1,2
1,20,25,1,19
1,20,25,1,19
1,8,15,0,7
1,8,15,1,7
1,14,20,1,13
1,14,20,1,13
1,4,7,1,3
1,4,7,1,3
1,6,14,1,5
1,6,14,1,5
1,7,12,1,6
1,7,12,1,6
1,13,17,0,12
1,13,17,1,12
1,5,7,1,4
1,5,7,1,4
1,9,14,1,8
1,9,14,1,8
1,15,16,1,14
1,15,16,1,14
1,16,18,1,15
1,16,18,1,15
1,19,21,1,18
1,19,21,1,18
1,2,12,1,1
1,2,12,1,1
1,17,19,0,16
1,17,19,1,16
10,18,13,0,8
10,18,13,0,8
10,12,8,1,2
10,12,8,1,2
10,11,7,0,1
10,11,7,1,1
10,1,4,0,-9
10,1,4,1,-9
10,3,2,0,-7
10,3,2,1,-7
10,20,15,1,10
10,20,15,1,10
10,8,7,0,-2
10,8,7,0,-2
10,14,12,0,4
10,14,12,1,4
10,4,3,0,-6
10,4,3,1,-6
10,6,7,0,-4
10,6,7,1,-4
10,7,5,0,-3
10,7,5,1,-3
10,13,6,1,3
10,13,6,1,3
10,5,2,0,-5
10,5,2,1,-5
10,9,7,1,-1
10,9,7,1,-1
10,15,6,1,5
10,15,6,1,5
10,16,9,1,6
10,16,9,1,6
10,19,7,1,9
10,19,7,1,9
10,2,3,0,-8
10,2,3,1,-8
10,17,10,0,7
10,17,10,1,7
3,18,17,0,15
3,18,17,1,15
3,12,14,1,9
3,12,14,1,9
3,11,10,1,8
3,11,10,1,8
3,1,3,0,-2
3,1,3,1,-2
3,10,10,1,7
3,10,10,1,7
3,20,21,1,17
3,20,21,1,17
3,8,13,1,5
3,8,13,1,5
3,14,18,0,11
3,14,18,1,11
3,4,4,1,1
3,4,4,1,1
3,6,12,0,3
3,6,12,1,3
3,7,9,1,4
3,7,9,1,4
3,13,15,1,10
3,13,15,1,10
3,5,4,1,2
3,5,4,1,2
3,9,12,0,6
3,9,12,1,6
3,15,13,1,12
3,15,13,1,12
3,16,14,1,13
3,16,14,1,13
3,19,16,1,16
3,19,16,1,16
3,2,7,0,-1
3,2,7,1,-1
3,17,19,0,14
3,17,19,1,14
20,18,2,1,-2
20,18,2,1,-2
20,12,1,0,-8
20,12,1,1,-8
20,11,2,0,-9
20,11,2,1,-9
20,1,1,0,-19
20,1,1,1,-19
20,10,5,0,-10
20,10,5,0,-10
20,3,2,0,-17
20,3,2,1,-17
20,8,1,0,-12
20,8,1,1,-12
20,14,3,1,-6
20,14,3,1,-6
20,4,0,0,-16
20,4,0,1,-16
20,6,1,0,-14
20,6,1,0,-14
20,7,3,0,-13
20,7,3,1,-13
20,13,2,0,-7
20,13,2,0,-7
20,5,0,0,-15
20,5,0,1,-15
20,9,4,0,-11
20,9,4,1,-11
20,15,2,0,-5
20,15,2,0,-5
20,16,3,0,-4
20,16,3,1,-4
20,19,4,0,-1
20,19,4,1,-1
20,2,0,0,-18
20,2,0,0,-18
20,17,6,0,-3
20,17,6,0,-3
8,18,9,1,10
8,18,9,1,10
8,12,10,0,4
8,12,10,1,4
8,11,9,1,3
8,11,9,1,3
8,1,3,0,-7
8,1,3,1,-7
8,10,8,1,2
8,10,8,1,2
8,3,6,1,-5
8,3,6,1,-5
8,20,15,1,12
8,20,15,1,12
8,14,9,0,6
8,14,9,1,6
8,4,5,0,-4
8,4,5,1,-4
8,6,8,0,-2
8,6,8,1,-2
8,7,10,0,-1
8,7,10,1,-1
8,13,8,0,5
8,13,8,1,5
8,5,3,0,-3
8,5,3,0,-3
8,9,6,1,1
8,9,6,1,1
8,15,6,0,7
8,15,6,1,7
8,16,13,0,8
8,16,13,1,8
8,19,13,1,11
8,19,13,1,11
8,2,5,0,-6
8,2,5,0,-6
8,17,14,1,9
8,17,14,1,9
14,18,8,1,4
14,18,8,1,4
14,12,11,0,-2
14,12,11,0,-2
14,11,10,0,-3
14,11,10,1,-3
14,1,3,0,-13
14,1,3,1,-13
14,10,10,1,-4
14,10,10,1,-4
14,3,4,0,-11
14,3,4,1,-11
14,20,16,1,6
14,20,16,1,6
14,8,8,0,-6
14,8,8,1,-6
14,4,4,0,-10
14,4,4,1,-10
14,6,6,1,-8
14,6,6,1,-8
14,7,8,0,-7
14,7,8,1,-7
14,13,9,1,-1
14,13,9,1,-1
14,5,2,0,-9
14,5,2,1,-9
14,9,9,0,-5
14,9,9,0,-5
14,15,7,0,1
14,15,7,1,1
14,16,8,0,2
14,16,8,1,2
14,19,13,0,5
14,19,13,0,5
14,2,5,0,-12
14,2,5,1,-12
14,17,11,1,3
14,17,11,1,3
4,18,16,1,14
4,18,16,1,14
4,12,15,1,8
4,12,15,1,8
4,11,10,1,7
4,11,10,1,7
4,1,4,0,-3
4,1,4,0,-3
4,10,10,1,6
4,10,10,1,6
4,3,6,0,-1
4,3,6,1,-1
4,20,23,1,16
4,20,23,1,16
4,8,13,1,4
4,8,13,1,4
4,14,13,1,10
4,14,13,1,10
4,6,9,1,2
4,6,9,1,2
4,7,11,0,3
4,7,11,1,3
4,13,13,1,9
4,13,13,1,9
4,5,4,1,1
4,5,4,1,1
4,9,12,0,5
4,9,12,1,5
4,15,10,1,11
4,15,10,1,11
4,16,11,0,12
4,16,11,1,12
4,19,14,1,15
4,19,14,1,15
4,2,5,0,-2
4,2,5,1,-2
4,17,19,0,13
4,17,19,1,13
6,18,16,1,12
6,18,16,1,12
6,12,14,0,6
6,12,14,1,6
6,11,11,1,5
6,11,11,1,5
6,1,4,0,-5
6,1,4,1,-5
6,10,10,0,4
6,10,10,1,4
6,3,4,0,-3
6,3,4,1,-3
6,20,18,1,14
6,20,18,1,14
6,8,7,1,2
6,8,7,1,2
6,14,15,0,8
6,14,15,1,8
6,4,6,0,-2
6,4,6,0,-2
6,7,9,1,1
6,7,9,1,1
6,13,11,1,7
6,13,11,1,7
6,5,1,1,-1
6,5,1,1,-1
6,9,9,1,3
6,9,9,1,3
6,15,8,0,9
6,15,8,1,9
6,16,14,0,10
6,16,14,1,10
6,19,17,0,13
6,19,17,1,13
6,2,9,0,-4
6,2,9,0,-4
6,17,14,0,11
6,17,14,1,11
7,18,15,0,11
7,18,15,1,11
7,12,13,0,5
7,12,13,1,5
7,11,9,1,4
7,11,9,1,4
7,1,4,0,-6
7,1,4,0,-6
7,10,10,0,3
7,10,10,1,3
7,3,6,0,-4
7,3,6,1,-4
7,20,18,1,13
7,20,18,1,13
7,8,9,0,1
7,8,9,1,1
7,14,14,0,7
7,14,14,1,7
7,4,5,1,-3
7,4,5,1,-3
7,6,13,0,-1
7,6,13,0,-1
7,13,12,1,6
7,13,12,1,6
7,5,3,0,-2
7,5,3,1,-2
7,9,8,0,2
7,9,8,1,2
7,15,12,1,8
7,15,12,1,8
7,16,12,1,9
7,16,12,1,9
7,19,10,1,12
7,19,10,1,12
7,2,3,1,-5
7,2,3,1,-5
7,17,14,0,10
7,17,16,1,10
13,18,12,1,5
13,18,12,1,5
13,12,8,0,-1
13,12,8,1,-1
13,11,7,0,-2
13,11,7,1,-2
13,1,3,0,-12
13,1,3,1,-12
13,10,7,0,-3
13,10,7,1,-3
13,3,4,0,-10
13,3,4,1,-10
13,20,9,1,7
13,20,9,1,7
13,8,4,0,-5
13,8,4,1,-5
13,14,9,0,1
13,14,9,1,1
13,4,6,0,-9
13,4,6,0,-9
13,6,5,0,-7
13,6,5,1,-7
13,7,7,0,-6
13,7,7,1,-6
13,5,4,0,-8
13,5,4,1,-8
13,9,5,0,-4
13,9,5,1,-4
13,15,5,0,2
13,15,5,1,2
13,16,6,1,3
13,16,6,1,3
13,19,7,1,6
13,19,7,1,6
13,2,1,0,-11
13,2,1,0,-11
13,17,9,1,4
13,17,9,1,4
5,18,15,1,13
5,18,15,1,13
5,12,13,1,7
5,12,13,1,7
5,11,8,1,6
5,11,8,1,6
5,1,4,0,-4
5,1,4,0,-4
5,10,11,1,5
5,10,11,1,5
5,3,5,0,-2
5,3,5,1,-2
5,20,18,1,15
5,20,18,1,15
5,8,7,1,3
5,8,7,1,3
5,14,13,0,9
5,14,13,1,9
5,4,5,0,-1
5,4,5,1,-1
5,6,9,0,1
5,6,9,1,1
5,7,7,1,2
5,7,7,1,2
5,13,10,1,8
5,13,10,1,8
5,9,7,1,4
5,9,7,1,4
5,15,10,1,10
5,15,10,1,10
5,16,12,0,11
5,16,12,1,11
5,19,11,1,14
5,19,11,1,14
5,2,5,1,-3
5,2,5,1,-3
5,17,16,1,12
